test_id,android_device_id,android_fingerprint,test_date,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,isp_name,is_isp,network_operator_name,mcc,mnc,pre_connection_type,post_connection_type,brand,device,hardware,build_id,manufacturer,model,product,cdma_cell_id,gsm_cell_id,location_type,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,gmaps_postal_code,client_ipv6_address
4123331744,164588951,"samsung/heroltexx/herolte:8.0.0/R16NW/G930FXXS2ERG7:user/release-keys","2018-08-01 00:00:00","37.47.xxx.xxx",37133,21762,20,"Warsaw","Poland","PL",52.2323,21.0084,"ISP Emitel","Poland","PL","Masovian Voivodeship","MZ","Warsaw",52.181,21.056,4.08432,"Orange mobile","1","Orange","260","3",15,15,"samsung","herolte","samsungexynos8890","R16NW","samsung","SM-G930F","heroltexx","","46437923",1,"02, Poland","Warsaw","locality","Poland","PL","Masovian Voivodeship","Warszawa","Warszawa","02",""
4123331748,181276407,"hardkernel/cm_odroidxu3/odroidxu3:6.0.1/MOB31K/9f1ced374d:userdebug/test-keys","2018-08-01 00:00:00","188.152.xxx.xxx",5605,802,58,"Rome","Italy","IT",41.9000,12.5000,"Vodafone Italy","Italy","IT","Apulia","75","Bari",41.133,16.850,231.425,"Vodafone Italia DSL","1","                ","","",0,0,"hardkernel","odroidxu3","odroidxu3","MOB31K","hardkernel","ODROID-XU3","cm_odroidxu3","","",2,"Bari, Italy","Bari","locality","Italy","IT","Apulia","Metropolitan City of Bari","Bari","70123",""
4123331750,152528883,"motorola/athene_f/athene_f:7.0/NPJS25.93-14-15/5:user/release-keys","2018-08-01 00:00:00","42.111.xxx.xxx",4380,1178,72,"Chennai","India","IN",13.0827,80.2707,"Vodafone India","India","IN","Telangana","TG","Secunderabad",17.441,78.495,323.936,"Vodafone India","1","IDEA","404","7",15,15,"motorola","athene_f","qcom","NPJS25.93-14-15","motorola","Moto G (4)","athene_f","","1061163",1,"Secunderabad, Telangana, India","Secunderabad","locality","India","IN","Telangana","Hyderabad","","500003",""
4123331753,217323104,"xiaomi/ugg/ugg:7.1.2/N2G47H/V9.5.6.0.NDKCNFA:user/release-keys","2018-08-01 00:00:00","112.97.xxx.xxx",22419,333,70,"Guangzhou","CN","CN",23.1333,113.2667,"ChinaTelecom-GZ","China","CN","Guangdong","GD","Dongguan",23.033,113.716,29.4579,"China Unicom Guangdong province","1","中国联通","460","1",15,15,"xiaomi","ugg","qcom","N2G47H","Xiaomi","Redmi Note 5A","ugg","","",2,"Dongguan, Guangdong, China","Dongguan","locality","China","CN","Guangdong","","","",""
4123331754,170748723,"vivo/1610/1610:6.0.1/MMB29M/compiler06071715:user/release-keys","2018-08-01 00:00:00","106.204.xxx.xxx",23738,1691,35,"Karnal","India","IN",29.6857,76.9905,"Softech Infosol Pvt. Ltd.","India","IN","Haryana","HR","Karnal",29.661,76.999,1.72997,"BHARTI Airtel","1","IDEA","404","12",15,15,"vivo","1610","qcom","MMB29M","vivo","vivo 1610","1610","","205613825",1,"Karnal, Haryana 132001, India","Karnal","locality","India","IN","Haryana","Karnal","","132001",""
4123331755,179249648,"samsung/dreamltexx/dreamlte:8.0.0/R16NW/G950FXXU2CRF7:user/release-keys","2018-08-01 00:00:00","49.197.xxx.xxx",48172,1742,21,"Brisbane","Australia","AU",-27.4728,153.0278,"'Yes' Optus","Australia","AU","Queensland","QLD","Deception Bay",-27.185,153.017,19.868,"Optus","1","YES OPTUS","505","2",15,15,"samsung","dreamlte","samsungexynos8895","R16NW","samsung","SM-G950F","dreamltexx","","23212810",1,"Deception Bay QLD, Australia","Deception Bay","locality","Australia","AU","Queensland","Moreton Bay Regional","","4508",""
4123331756,209758793,"xiaomi/ugg/ugg:7.1.2/N2G47H/V9.5.9.0.NDKMIFA:user/release-keys","2018-08-01 00:00:00","47.9.xxx.xxx",48570,5757,70,"Patna","India","IN",25.6139,85.1354,"Max-tech media & communications pvt ltd","India","IN","Uttar Pradesh","UP","Ferozpur",26.000,84.061,72.0481,"Jio","1","Jio 4G","405","871",15,15,"xiaomi","ugg","qcom","N2G47H","Xiaomi","Redmi Y1","ugg","","2932242",1,"Baheri, Uttar Pradesh 277303, India","Baheri","locality","India","IN","Uttar Pradesh","Ballia","","277303",""
4123331763,217655849,"newspice/K601/Spice_K601:7.0/NRD90M/K601-I371-7.0-OP-V016-20170629:user/release-keys","2018-08-01 00:00:00","47.29.xxx.xxx",21013,4274,80,"Darbhanga","India","IN",26.1119,85.8960,"Acme Diginet Corporation Pvt Ltd","India","IN","Bihar","BR","Patna",25.600,85.116,60.0566,"Jio","1","Jio 4G","405","856",15,15,"newspice","Spice_K601","mt6735","NRD90M","Spice","Spice K601","K601","","50767617",2,"Patna, Bihar 800001, India","Patna","locality","India","IN","Bihar","Patna","","800015",""
4123331765,190536216,"samsung/dreamltexx/dreamlte:8.0.0/R16NW/G950FXXU3CRGB:user/release-keys","2018-08-01 00:00:00","1.187.xxx.xxx",2074,5920,179,"Surat","India","IN",21.1700,72.8300,"Ishan Netsol Pvt Ltd","India","IN","Gujarat","GJ","Surat",21.220,72.886,5.06597,"Idea Cellular","1","IDEA | Idea","404","24",15,15,"samsung","dreamlte","samsungexynos8895","R16NW","samsung","SM-G950F","dreamltexx","","11170091",1,"Surat, Gujarat, India","Surat","locality","India","IN","Gujarat","Surat","","395006",""
4123331769,217655852,"samsung/star2qlteue/star2qlteue:8.0.0/R16NW/G965U1UES2ARF4:user/release-keys","2018-08-01 00:00:01","113.185.xxx.xxx",65315,30522,18,"Ho Chi Minh City","Vietnam","VN",10.7500,106.6667,"Viettel Network","Vietnam","VN","Ho Chi Minh","SG","Ho Chi Minh City",10.814,106.643,4.70557,"Vietnam Posts And Telecommunications Group","1","VN VINAPHONE","452","2",15,15,"samsung","star2qlteue","qcom","R16NW","samsung","SM-G965U1","star2qlteue","","179219980",2,"Ho Chi Minh City, Ho Chi Minh 70000, Vietnam","Ho Chi Minh City","locality","Vietnam","VN","Ho Chi Minh","","","",""
4123331770,214904443,"pantech/cm_ef52l/ef52l:5.1.1/LMY48W/1e57ff18f2:userdebug/test-keys","2018-08-01 00:00:01","103.7.xxx.xxx",5830,781,30,"Ha Noi","Viet Nam","VN",21.0285,105.8542,"VIETPN CO, LTD","Vietnam","VN","Thai Nguyen","69","Thanh Pho Thai Nguyen",21.596,105.842,39.3038,"Vietnamobile Telecommunications Joint Stock Compan","1","Vietnamobile","452","5",17,17,"pantech","ef52l","qcom","LMY48W","PANTECH","VEGA IRON","cm_ef52l","","8161930",1,"tp. Thái Nguyên, Thái Nguyên, Vietnam","tp. Thái Nguyên","locality","Vietnam","VN","Thai Nguyen","","","",""
4123331771,217655765,"OPPO/CPH1821/CPH1821:8.1.0/O11019/1529039957:user/release-keys","2018-08-01 00:00:01","123.108.xxx.xxx",13669,4329,15,"Dhaka","Bangladesh","BD",23.7000,90.3667,"Next Online Ltd.","Bangladesh","BD","Dhaka Division","C","Dhaka",23.714,90.405,2.67024,"GrameenPhone","0","GrameenPhone","470","1",15,15,"OPPO","CPH1821","mt6771","O11019","OPPO","CPH1821","CPH1821","","25801741",1,"Dhaka 1000-1200, Bangladesh","Dhaka","locality","Bangladesh","BD","Dhaka Division","Dhaka","","",""
4123331772,181276407,"hardkernel/cm_odroidxu3/odroidxu3:6.0.1/MOB31K/9f1ced374d:userdebug/test-keys","2018-08-01 00:00:01","90.163.xxx.xxx",70619,97974,18,"Madrid","Spain","ES",40.4000,-3.6833,"Orange","Spain","ES","Cantabria","CB","Santander",43.464,-3.804,212.078,"Orange Espana","1","                ","","",0,0,"hardkernel","odroidxu3","odroidxu3","MOB31K","hardkernel","ODROID-XU3","cm_odroidxu3","","",2,"Santander, Cantabria, Spain","Santander","locality","Spain","ES","Cantabria","Cantabria","Santander, Santander","39003",""
4123331774,181276407,"hardkernel/cm_odroidxu3/odroidxu3:6.0.1/MOB31K/9f1ced374d:userdebug/test-keys","2018-08-01 00:00:01","188.77.xxx.xxx",155928,173977,34,"Madrid","Spain","ES",40.4000,-3.6833,"MasMovil","Spain","ES","Catalonia","CT","Barcelona",41.388,2.159,312.972,"Orange Espana","1","                ","","",0,0,"hardkernel","odroidxu3","odroidxu3","MOB31K","hardkernel","ODROID-XU3","cm_odroidxu3","","",2,"Barcelona, Barcelona, Spain","Barcelona","locality","Spain","ES","Catalonia","Barcelona","El Barcelonès, Barcelona","08011",""
4123331775,146089068,"Xiaomi/land/land:6.0.1/MMB29M/V8.5.4.0.MALMIED:user/release-keys","2018-08-01 00:00:01","117.209.xxx.xxx",411,0,147,"Coimbatore","India","IN",11.0183,76.9725,"ACT Fibernet","India","IN","Tamil Nadu","TN","Pollachi",10.664,77.007,24.5752,"BSNL","1","BSNL Mobile","404","80",17,11,"Xiaomi","land","qcom","MMB29M","Xiaomi","Redmi 3S","land","","35428052",1,"Pollachi, Tamil Nadu 642001, India","Pollachi","locality","India","IN","Tamil Nadu","Coimbatore","","642002",""
4123331777,134289174,"Xiaomi/ido/ido:5.1.1/LMY47V/V9.5.3.0.LAIMIFA:user/release-keys","2018-08-01 00:00:01","46.211.xxx.xxx",11867,13921,18,"Kiev","Ukraine","UA",50.4500,30.5233,"Volia","Ukraine","UA","UNKNOWN","??","UNKNOWN",50.450,30.523,0,"Kyivstar PJSC","1","vodafone UA","255","1",15,15,"Xiaomi","ido","qcom","LMY47V","Xiaomi","Redmi 3","ido","","",2,"Ukraine","Ukraine","country","Ukraine","UA","","","","",""
4123331780,181276407,"hardkernel/cm_odroidxu3/odroidxu3:6.0.1/MOB31K/9f1ced374d:userdebug/test-keys","2018-08-01 00:00:01","37.228.xxx.xxx",109154,24184,11,"Carlow","Ireland","IE",52.8306,-6.9317,"Blacknight","Ireland","IE","Leinster","L","Dublin",53.333,-6.248,44.8655,"Virgin Media Ireland","1","                ","","",0,0,"hardkernel","odroidxu3","odroidxu3","MOB31K","hardkernel","ODROID-XU3","cm_odroidxu3","","",2,"Dublin, Ireland","Dublin","locality","Ireland","IE","Dublin","Dublin City","","D04 F3P8",""
4123331781,47510897,"htc/htc_asia_tw/htc_m8:5.0.2/LRX22G/504321.3:user/release-keys","2018-08-01 00:00:01","42.73.xxx.xxx",28665,8611,16,"Hsinchu","Taiwan","TW",24.8167,120.9833,"Chief Telecom","Taiwan","TW","Taiwan Province","04","Xionglin",24.770,121.076,6.6828,"Chunghwa Telecom","1","中華電信","466","92",15,15,"htc","htc_m8","qcom","LRX22G","HTC","HTC_M8x","htc_asia_tw","","80277794",1,"307, Taiwan, 新竹縣芎林鄉上山村","上山村","administrative_area_level_4","Taiwan","TW","Hsinchu County","Qionglin Township","上山村","307",""
