test_id,iphone_device_id,test_date,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,pre_connection_type,post_connection_type,isp_name,is_isp,network_operator_name,iso_country_code,mcc,mnc,model,version,location_type,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,gmaps_postal_code,client_ipv6_address
2766394023,103246925,"2018-08-01 00:00:00","5.90.xxx.xxx",112548,26826,48,"Rome","Italy","IT",41.9000,12.5000,"Warian Srl","Italy","IT","Lazio","62","Torvaianica",41.630,12.475,18.6728,12,12,"Vodafone Italia","1","Vodafone IT","IT","222","10","iPhone 7","11.4",1,"Torvaianica, Metropolitan City of Rome, Italy","Torvaianica","locality","Italy","IT","Lazio","Metropolitan City of Rome","Pomezia","00040",""
2766394034,147328657,"2018-08-01 00:00:00","188.146.xxx.xxx",7817,4580,39,"Poznań","Poland","PL",52.4064,16.9252,"T-Mobile Polska S.A.","Poland","PL","West Pomeranian Voivodeship","ZP","Szczecinek",53.712,16.679,90.8915,12,12,"T-mobile Polska","1","T-Mobile.pl","PL","260","2","iPhone 6S","11.4.1",1,"78, Poland","Szczecinek","locality","Poland","PL","West Pomeranian Voivodeship","Szczecinek County","Gmina Szczecinek","78",""
2766394045,69444408,"2018-08-01 00:00:01","183.171.xxx.xxx",11663,1989,54,"Singapore","Republic of Singapore","SG",1.3000,103.8000,"Telin","Malaysia","MY","Johor","01","Johor Bahru",1.464,103.766,11.5892,12,12,"Celcom Internet Service Provider","1","Celcom","MY","502","19","iPhone 6","11.2.1",1,"Johor Bahru, Johor, Malaysia","Johor Bahru","locality","Malaysia","MY","Johor","Johor Bahru","","80300",""
2766394047,145072816,"2018-08-01 00:00:01","80.215.xxx.xxx",26861,2809,29,"Paris","France","FR",48.8742,2.3470,"Cloudwatt","France","FR","Île-de-France","IDF","Le Kremlin-Bicetre",48.814,2.360,4.16247,12,12,"Bouygues Mobile","1","Bouygues Telecom","FR","208","20","iPhone 6","11.4.1",2,"Le Kremlin-Bicêtre, France","Le Kremlin-Bicêtre","locality","France","FR","Île-de-France","Val-de-Marne","","94270",""
2766394048,145985908,"2018-08-01 00:00:01","188.29.xxx.xxx",14282,6010,39,"Cranleigh, Surrey","GB","GB",51.1411,-0.4840,"Memset Ltd","United Kingdom","GB","Brent","BEN","Neasden",51.550,-0.250,30.0362,12,12,"Three","1","Three","GB","234","20","iPhone10,4","11.4.1",2,"London NW10, UK","London","locality","United Kingdom","GB","England","Greater London","","NW10",""
2766394049,121315029,"2018-08-01 00:00:01","37.160.xxx.xxx",42242,17539,80,"Milan","Italy","IT",45.4640,9.1916,"CWNET","Italy","IT","Lombardy","25","Milan",45.466,9.200,0.44828,12,12,"Free Mobile SAS","1","Iliad","IT","222","50","iPhone5S","11.4.1",2,"Milan, Italy","Milan","locality","Italy","IT","Lombardy","Metropolitan City of Milan","Milan","20122",""
2766394050,110563374,"2018-08-01 00:00:01","37.227.xxx.xxx",27366,23722,58,"Rome","Italy","IT",41.9000,12.5000,"Wind Tre","Italy","IT","Lombardy","25","Sesto Calende",45.724,8.648,326.892,12,12,"Wind Tre","1","3 ITA","IT","222","99","iPhone 7","11.4.1",1,"21018 Sesto Calende VA, Italy","Sesto Calende","locality","Italy","IT","Lombardy","Province of Varese","Sesto Calende","21018",""
2766394055,143540846,"2018-08-01 00:00:01","46.211.xxx.xxx",60554,20072,38,"Kyiv","Ukraine","UA",50.4500,30.5233,"NashNet LLC","Ukraine","UA","Kyiv city","30","Kyiv",50.454,30.523,0.325824,1,0,"Kyivstar PJSC","1","KYIVSTAR","UA","255","3","iPhone10,6","12.0",2,"Kiev, Ukraine, 02000","Kiev","locality","Ukraine","UA","Kyiv city","Kyiv City","","02000",""
2766394062,147227831,"2018-08-01 00:00:02","151.29.xxx.xxx",58300,23332,59,"Rome","Italy","IT",41.9000,12.5000,"Fastweb SpA","Italy","IT","Lazio","62","Rome",41.885,12.570,3.75623,12,12,"Wind Telecomunicazioni","1","Vodafone IT","IT","222","10","iPhone5S","11.4.1",1,"Rome, Italy","Rome","locality","Italy","IT","Lazio","Metropolitan City of Rome","Rome","00172",""
2766394082,129948079,"2018-08-01 00:00:04","80.187.xxx.xxx",1907,497,29,"Lutherstadt Wittenberg","Germany","DE",51.9066,12.5416,"wittenberg-net GmbH","Germany","DE","Saxony","SN","Leipzig",51.311,12.264,42.835,2,12,"Deutsche Telekom AG","1","Telekom.de","DE","262","1","iPhone 6S","11.4.1",1,"Leipzig, Germany","Leipzig","locality","Germany","DE","Saxony","Leipzig","","04207",""
